DIMENSION_MACRO,IES ANONIMIZADA,SUBDIMENSIÓN,VARIABLE,INDICADOR,RESULTADO
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,RESULTADOS DE CALIDAD E INVESTIGACIÓN INSTITUCIONAL,PUBLICACIÓN DE INFORMACIÓN DE INSERCIÓN LABORAL Y CALIDAD DE LA GRADUACIÓN.,8.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,RESULTADOS DE CALIDAD E INVESTIGACIÓN INSTITUCIONAL,VISIBILIDAD Y ACCESO A LA PRODUCCIÓN CIENTÍFICA.,41.67
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,RESULTADOS DE LA GESTIÓN DE CALIDAD (ACREDITACIÓN),PUBLICIDAD DE LOS PROCESOS DE EVALUACIÓN Y ACREDITACIÓN.,8.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,ACOMPAÑAMIENTO Y TUTORÍAS ACADÉMICAS.,ACCESIBILIDAD AL SISTEMA DE TUTORÍAS.,8.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,BIENESTAR Y APOYO ECONÓMICO (BECAS),PUBLICIDAD DE CRITERIOS DE SELECCIÓN PARA BECAS,62.5
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,CANALES DE QUEJAS Y SUGERENCIAS (VOZ ESTUDIANTIL),EXISTENCIA DEL BUZÓN DE TRANSPARENCIA.,25.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA SERVICIO AL ESTUDIANTE,INFRAESTRUCTURA Y RECURSOS DE APRENDIZAJE,DISPONIBILIDAD DE INVENTARIOS DE RECURSOS,16.67
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN ADMISIÓN Y MATRÍCULA,"EXISTENCIA DE PUBLICIDAD, CRITERIOS DE SELECCIÓN, DESCRIPCIÓN DEL PROCESO DE ADMISIÓN Y MATRICULA.",50.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN LA EVALUACIÓN,EXISTEN CRITERIOS ESPECÍFICOS (EJ. RÚBRICAS) CON LOS QUE SERÁN CALIFICADOS MIS TRABAJOS O PROYECTOS.,33.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA TRANSPARENCIA,TRANSPARENCIA EN TITULACIÓN Y GRADUACIÓN,"EXISTENCIA DE CRITERIOS ASOCIADOS AL PROCESO DE TITULACIÓN (TASAS, PLAZOS, NORMATIVA, DERECHOS DE GRADO, ETC.) CON SUFICIENTE ANTELACIÓN.",37.5
Investigación,UNIVERSIDAD 2,INVESTIGACIÓN,CIENCIA ABIERTA Y ACCESO A LA INFORMACIÓN CIENTÍFICA,PRODUCCIÓN CIENTÍFICA DISPONIBLE EN ACCESO ABIERTO (OPEN ACCESS).,66.67
